=== 段落内容 ===
[0] 原文
[1] 呃他通过咱的移动云云电脑，然后再通过咱这个呃mobile，然后再通过这个咱这个图粉来打打造这一条龙，然后咱往后就是卖头粉。但是他前期这个框架他自己不大懂技术，他搭不起来，想问问咱能不能帮他把这个全链路打通，就是他比如说去拍视频，去刘官庄，刘官庄镇，它就是呃反正全国做塑料很牛逼的一个镇，然后嗯家家户户都有这种吹塑机。然后他们是一个产业集群，很有钱。那个小老板那个4个6的手机号说干就干了好几万了。所以他觉得就是那个那些小老板都很有钱。
[2] 然后他们也很认这个，因为他们现在刘关庄很多塑料企业都开始拍抖音，拍视频号啊什么的，发网红就来获客嘛。
[3] 塑料企业嗯哎那这些就相当于他们那个想做的那个场景，相当于是呃用AI拍视频，AI自动生成视频，然后自动在短视频网站上发布。对，然后再还有一个就是那个智能客服。
[4] 对，一部分是那个一部分自己拍，另一部分就是根据客户需要，他们可以自己生成视频这种的啊，或者是是通过个视频优化什么的。
[5] 目前就是就是你通过open的方式不太好直接直接生成这种视频。就是一般现在生成视频，它都有那种比较成熟的那种呃公交软件吧，反正就是对对对对对对，或者包括以前那就近那个GPT为那些，它其实都都有那些方式，但是就是你让生成这个事情还是比较困难的。因为它现在更多的是基于它。
[6] 它不是通过那个放机，它上面就是说它比如说它就有这个功能，就是比如说也是放在呃不用open实现，但是，你就是他可以自己操作那种也行，就是他到时候都会去到企业谈。如果这个需要用的话，就给他一个账号什么的，然后他自己根据那些功能来自己来进行生成视频。
[7] 我明白，但是我我们创新院现在没这个能力，现在是就是现在没有这种。声成我感觉至少达到他们要求的那种声成视频单位那也没事儿。
[8] 其实到上次说声成视频啊，他他也可以去拍摄。拍摄完他主要是什么呢？他想做那个嗯，可就是说，比如说他自己拍视频嘛，给客户拍完剪辑好，他做抖音矩阵上传到这个抖音或者是一些些视频号啊，一些平台上哦。
[9] 这这个我明白，这个这个那个啥，抖音他们支持这种这种接入或者什么呃。
[10] 应该抖音应该支持吧。这种就是做抖音矩阵。
